단어,개수
기술은,2
사람이,2
일하는,1
방법을,2
바꿀,1
때,8
진정한,1
가치가,1
전환이,2
빠르게,16
이뤄지는,1
분야를,7
타깃으로,1
내부에서,1
200여개의,1
과제를,1
진행하고,8
"있다""고",3
말했다.,36
이어,10
"""음성데이터는",1
쉽게,5
확보할,2
없는,4
아날로그,1
"데이터""라며",1
"""20년간",1
덕분에,2
국내,28
대기업에,1
독점,3
공급하고,7
설명했다.,8
대표가,8
생각한,1
주요,21
분야는,3
메타모빌리티다.,1
"""AI를",1
개인별,1
맞춤,1
교육에,1
도움을,5
줄,3
환자,6
맞춤형,1
실시간,4
원격진료가,1
"가능하다""고",1
전했다.셀바스AI는,1
하반기부터,2
국방부,1
예산을,1
받아,5
군,2
이동형,5
원격,4
사업을,19
시작한다.,1
향후,9
챗,1
"GPT,",1
글로벌,31
헬스케어,10
융합해,2
"실버,",1
민간,1
사업의,2
주도권을,1
계획이라고,1
특히,15
셀바스AI의,14
성장을,7
위해,25
R&D(연구개발),1
자금,9
확보가,2
중요하다고,1
강조했다.,5
현재,9
진행,6
중인,6
788억원의,1
주주배정,5
662억원이,1
R&D에,1
사용될,1
예정이다.곽,1
"""AI",2
시장은,4
마지막,1
생존자가,1
시장을,7
독식할,1
있을,9
"것""이라며",3
"""그동안",1
수익화를,1
위한,32
포트폴리오,1
구성과,2
R&D,1
재투자를,1
"했으나,",1
이제는,1
투입을,1
파트너십,2
구축과,1
필요한,16
"시점""이라고",1
했다.그는,1
"""셀바스AI와",1
셀바스헬스케어가,2
분야별로,1
'빌드업'하는,1
과정을,5
보면,1
선순환,4
고리를,2
어떻게,2
만드는지,1
확인할,5
"있다""라며",1
"""'빌드업'",1
과정이,1
기업가치,1
재평가와,1
주가,1
상승세로,1
이어질,2
"것""이라고",8
자신했다.,1
[이데일리,15
이용성,3
기자],26
인공지능(AI),32
전문기업,17
셀바스AI(108860)는,5
‘제6회,1
국제인공지능대전(AI,1
EXPO,1
KOREA,1
2023)’에서,1
신제품을,1
공개할,2
예정이라고,1
9일,2
(사진=셀바스AI)회사,1
측에,4
따르면,14
오는,16
10일부터,1
12일까지,1
서울,7
코엑스에서,2
개최되는,4
해당,4
행사에서,2
△AI,1
제품,16
‘셀비,5
노트(Selvy,2
Note),1
3.0’과,1
△디지털교과서,1
‘셀펍(Selpub)’를,1
셀비,6
노트,2
3.0은,1
음성을,3
자동으로,2
텍스트로,1
변환해,2
기록,1
및,73
"저장하고,",1
이를,3
데이터베이스(DB)화하는,1
솔루션이다.,6
3.0에는,1
셀바스AI가,10
자체,8
개발한,2
차세대,4
엔드투엔드,1
엔진이,1
적용돼,1
향상을,3
학습기간이,1
단축됐다.,1
파일과,1
폴더,1
단위,1
일괄,1
음성기록이,1
가능해,2
사용성이,2
대폭,1
개선됐다.,1
‘셀펍’은,1
나만의,2
교과서를,1
제작할,1
솔루션으로,1
외국어,2
교육,2
수식,2
필순,1
인식이,1
가능한,14
"필기인식,",1
음성합성,12
HCI,3
기술이,9
융합되어,1
향상됐다.,1
영어,1
발음,1
"평가,",1
"입력,",1
본문,1
내용,1
읽어,1
"주기,",1
사용자의,3
학습,20
경험,2
데이터에,3
대한,26
기반,46
"피드백,",1
학습자료,1
제작이,1
가능하다.,1
기존,8
교재,2
발행사는,1
물론,5
학교,1
고객을,1
확대해,1
나갈,8
계획이다.셀바스AI는,1
신제품,1
공개,1
외에도,1
각,14
도메인(산업)별,1
융합,4
혁신,2
사례와,1
함께,9
비전을,1
공유한다.,1
대표적인,1
도메인으로,1
선정한,1
"의료·헬스케어,",1
"금융,",1
법률,3
수사,1
"정부기관,",1
엔터테인먼트,1
산업과,1
인공지능,37
기술의,2
사례를,2
소개할,1
"또한,",2
고객들이,1
사용,7
방법에,3
고민,1
없이,4
직관적으로,2
아이디어를,1
얻을,2
있도록,20
부스를,5
구성했다.셀바스AI,1
측은,8
“셀바스AI는,1
도메인,2
전문기업들과의,1
협업을,4
도메인별로,1
특화된,2
제품을,12
성공적으로,1
상용화,2
수익화하고,1
있다”며,6
“HCI,1
"기술,",2
"지식,",1
챗GPT,2
초거대,4
융합하여,2
메타로빌리티(메타버스·로봇·모빌리티),1
3대,1
도메인에서,1
의미,1
혁신을,2
만들어,3
계획이다”라고,1
셀바스AI와,2
2028년,1
146억,1
달러(약,1
19조원),1
규모로,2
성장하는,1
초음파,10
시장에,8
진출한다.,1
의료시장뿐,1
의료시장까지,1
진출할,3
계획이다.8일,1
셀바스헬스케어는,2
심장,4
기업,36
울트라사이트(UltraSight)와,1
파트너십을,3
체결했다고,5
밝혔다.울트라사이트는,1
경험이,2
의료진이,2
안내에,1
따라,7
쉽고,3
정확한,5
검사를,2
"수행하고,",1
고품질의,3
진단,7
이미지를,5
솔루션을,12
개발한다.,1
임상,11
현장,3
진단에,4
활용되어,1
도심,1
"병원,",4
"검진센터,",1
"구급차,",1
외곽,1
지역,10
병원,6
모든,13
시설에서,1
용이하게,1
한다.,7
울트라사이트의,2
솔루션은,2
유럽에서,1
CE,1
"마크,",1
영국에서,1
UKCA,1
마크를,1
"획득했으며,",1
미국,32
식품의약국(FDA),2
승인,3
절차가,1
중이다.,10
의료영상기기와,1
프로세스는,1
의료진의,8
오진을,1
"줄이고,",1
의사결정을,2
도와준다.,1
알고리즘을,8
사용하면,1
45분,1
정도,1
소요되는,1
뇌,4
MRII,1
스캔을,1
단,2
몇분간의,1
스캔으로,1
줄일,5
것으로,38
알려져,1
한국보건산업진흥원은,1
아시아,2
태평양,2
지역의,1
의료영상기기,1
시장의,1
성장이,6
빠르다고,1
전망했다.,3
이,19
지역은,1
방사선,2
전문가의,4
업무량,1
"증가,",1
의사,1
대,1
비율,1
"저하,",1
새로운,2
개발하는,1
스타트업들이,1
주도할,1
예상된다.,3
지난,24
2월,3
기업인,2
GE헬스케어가,1
영상,12
캡션,1
헬스(Caption,1
Health)를,1
인수하면서,1
관심이,4
높아지는,1
분위기다.,1
삼성전자와,1
삼성메디슨도,1
3월,3
'제38회,1
국제의료기기·병원설비전시회'에서,1
프리미엄,2
진단기기와,1
보조,16
기능들을,1
소개했다.,1
'군,1
이동,2
원격진료',1
울트라사이트와,1
협력을,3
군을,1
비롯한,5
"민간,",1
실버,4
시장으로,2
확대,8
공급할,2
계획이다.,13
가이던스,2
더해지면,1
교통이,1
불편한,1
산간오지,1
"의료기관,",2
구급차,1
등에서,6
획득한,6
음성,16
정보를,10
실시간으로,2
응급,1
의료기관에,5
전달해,1
양방향,1
지도까지,1
지원할,1
있다고,7
회사,12
전했다.,4
원격의료에,1
"△음성,",1
영상인식,2
접목된,2
원격의료,2
△음성으로,1
언제,1
어디서나,1
의무기록,1
작성이,1
메디보이스,1
△원격에서,1
화상으로,1
진료가,1
화상장비를,1
갖추고,2
셀바스헬스케어도,2
△환자,1
모니터링,1
시스템,5
△원격,1
의료용,1
신규,4
라인업을,2
확보했다.,1
다비디,1
보트만,1
울트라사이트,1
"""심초음파",1
검사는,1
습득하는,1
데,14
수년이,1
걸리며,1
고도의,1
숙련도를,1
유지하기,1
매일,1
실습이,1
필요하기,1
때문에,3
고도로,1
전문화된,1
전문의가,1
"부족하다""며",1
"""울트라사이트의",1
기술로,5
더,14
많은,13
심초음파,1
영상을,13
촬영할,1
있게,2
된다면,1
심초음파에,1
환자들의,1
접근성도,1
더욱,3
높아질,1
중심에서,1
분야로,4
확대하기,1
준비들이,1
상당히,1
많이,5
"진행됐다""며",1
"""보유한",2
기술에,1
신기술,1
융합을,3
올해부터,3
본격적인,2
실적이,1
나올,1
"예정이다""라고",1
연,1
100억,1
적자,3
내다,1
흑자전환…,1
조서·상담록,2
작성,1
돕는,6
노트’,2
영향챗GPT,1
접목한,2
개발…,1
사람처럼,1
자연스럽게,5
대화,14
가능하도록390여,1
고객사에,3
공급…,1
관광,5
인력,2
분야도,2
검토곽민철,1
지난달,3
27일,3
조선비즈와,1
인터뷰하고,1
있다./셀바스AI,1
제공,6
셀바스는,1
남미에,1
열대,1
우림,1
지역을,1
뜻하는,1
"단어로,",1
나무의,1
곳이다.,1
‘빠른,1
성장’이라는,1
경영,3
철학을,1
"반영,",1
인공지능(AI)을,2
활용한,4
음성인식·합성,2
시대를,3
열고,2
의사의,2
진단·처방,2
내용을,4
텍스트(문자)로,1
기록하는,4
"메디보이스’,",1
적용한,1
서비스,29
‘셀펍’,1
등을,20
있다.“교육과,1
의료는,2
업무가,1
손으로,1
이뤄지기에,1
서비스가,8
분야입니다.,1
교육과,1
공략하는,1
서비스로,1
매출을,9
끌어올릴,1
것입니다.,1
한국에서,2
입지를,1
다진,1
후에는,1
시장에도,1
것입니다.”곽민철(48),1
조선비즈와의,1
그는,1
“AI,1
음성인식에,1
개발하고,2
“사람처럼,1
대화가,1
수준이,1
목표”라고,1
했다.,8
“사람이,1
산업에서도,1
인력을,4
획기적으로,1
서비스를,27
구상하고,1
있다”고,4
했다.셀바스AI는,1
2018년,4
당시만,1
해도,1
개발을,4
투자비를,1
쏟아부었지만,1
매출로,2
이어지지,1
않아,4
100억원이,1
넘는,2
적자를,6
냈다.,1
하지만,2
매출,19
기록하면서,1
끊고,1
흑자전환에,2
성공했다.,3
경찰청을,2
조사기관에,1
내담자의,1
말을,7
글자로,1
작성에,1
주는,5
공급한,2
영향이다.셀바스AI가,1
미래,1
먹거리로,1
점찍은,1
교육·의료다.,1
“사람의,1
힘이,1
필요하고,1
이뤄져야,1
찾던,1
중,20
알게,2
됐다”며,1
“교육업체와,1
메디보이스와,1
셀펍,1
설명했다.곽,1
한국외국어대에서,1
소프트웨어공학,1
석사를,1
받은,3
뒤,1
1997년부터,1
소프트웨어,4
인프라웨어(현,1
폴라리스오피스)에,1
몸담았다.,1
2010년부터는,1
대표로,1
회사를,2
이끌고,1
다음은,1
대표와의,1
일문일답.-2010년부터,1
대표를,1
맡았다.,1
사업에,5
뛰어든,1
계기는.“일반적인,1
소프트웨어하고는,1
결이,1
다르다는,1
점이,1
매력적으로,1
느껴졌다.,1
보통,1
소프트웨어는,1
하나의,1
목적만,1
정확하게,4
수행한다.,1
기능도,1
정해져,1
있어,8
유사한,1
결과물만,1
계속,2
내놓는다.,1
그런데,1
AI는,18
말과,2
행동,1
양식을,1
배우고,1
따라한다는,1
점에서,1
능동적인,1
기술이라는,1
생각이,1
들었다.,1
활용도도,1
높고,1
유망,1
기술이라고,1
판단해,1
뛰어들게,1
됐다.”-음성인식,1
어디에,1
"있는지.“공공기관,",1
"금융기관,",1
390여곳의,1
조사기관에서는,1
피해자들이,1
조사,1
당시,4
했던,1
문서,1
형태로,4
"변환하는데,",1
활용하고,1
선박,2
회사에서는,1
내,29
무전,1
"기록을,",1
법률사무소에서는,1
변호사와,1
의뢰인,1
간,10
상담,8
문자로,1
기록할,1
이용한다.,1
분야의,1
제약,1
폭넓게,1
사용할,3
서비스라,1
고객사를,1
늘릴,1
있었다.”셀바스AI의,1
노트'./셀바스AI,1
-교육·의료,1
주력하는,1
"이유는.“교육,",1
다른,3
산업보다,1
인력이,5
분야다.,1
거의,1
업무를,5
도맡는다.,1
그렇다보니,1
사람을,1
필요하다고,1
생각했다.,2
교육기관과,1
각각,5
‘셀펍’과,1
메디보이스’,1
있다.”-적자를,1
기록하다,1
원동력이,1
무엇인가.“독자적인,1
개발에,2
주력한,1
게,3
성장의,1
요인이었다.,1
우리,4
회사도,1
어려운,3
시기에는,1
고객사가,2
원하는,1
프로그램을,1
맞춤형으로,1
만들어주는,1
용역,1
진행할지,1
고민했다.,1
그렇게,1
하면,1
단기적으로,1
수익을,1
올릴,1
있지만,5
장기적으로는,1
특색을,1
잃을,1
것이라고,2
시간이,1
걸리더라도,1
맞추는,1
"아닌,",1
사용하고,1
싶게,1
싶었다.”-향후,1
방향이,1
궁금하다.“특정,1
산업,12
회사의,3
핵심적인,2
역할을,2
할,6
때까지,2
상품을,1
출시할,1
지금,2
서비스는,2
업무만,1
맡고,2
향후에는,1
역할,1
일부를,1
정도의,1
고도화된,1
서비스도,4
내놓을,1
교육에서도,1
제작뿐만,1
강의도,1
대신할,1
만큼의,1
기술력을,4
가진,3
출시하려고,1
지속해서,1
발굴할,1
것이다.,4
보고,3
관광이다.,1
산업에서,1
있을지,2
고민하고,1
시장,13
점유율을,1
늘리고,1
이후엔,1
계획도,3
가지고,2
있다.”,1
김응태,3
LG유플러스(032640)와,1
우리카드에,2
공급했다고,8
4일,1
음성지능,5
대화형,11
인공지능(AI)은,1
"음성인식(STT),",1
음성합성(TTS),1
상담사가,1
고객,5
상담을,2
제공한다.,3
시,5
고객들은,1
말로,1
결제,1
대금,1
"조회,",1
"선결제,",1
한도,3
"조회·조정,",1
입금,1
내역,1
"확인,",1
비밀번호,1
"등록·변경,",1
상향,1
안내,1
묻고,1
답변,1
받을,1
우리카드만의,1
아이덴티티를,1
담은,1
브랜드,2
보이스도,1
제작해,1
서비스에,2
적용했다.셀바스AI의,1
음성인식(셀비,1
STT),1
높은,15
인식률을,2
안정적인,2
엔진,2
성능을,9
2021년부터,1
품질,5
관리,4
프로젝트에,1
적용되며,1
발전해왔다.,1
금융권과,1
이동통신사,3
"AI컨택센터,",3
무인화,3
언택트,3
매장,3
공급이,1
TTS는,1
특정,1
발화,3
특성을,3
학습해,1
최적화된,3
"제공하고,",1
청자의,1
신뢰도를,1
높이는,7
고효율의,1
진행이,1
특징이다.,1
Note)는,1
금융권,5
영업점,2
상담사의,1
편의성과,2
업무,7
생산성을,1
제고해,1
준다.셀바스AI,1
관계자는,16
“금융사,1
대형,4
이동통신사들이,1
AI를,5
접목해,1
만족도를,1
향상시킬,1
뿐만,1
금융소비자보호법,1
시행에,1
따른,1
리스크를,1
사전,1
방지하려는,1
니즈가,1
증가하고,1
“금융,1
AI컨택센터와,1
창구,1
솔루션에,2
수요가,5
커질,1
것”이라고,5
(사진=셀바스AI).,2
*재판매,4
DB,11
금지[서울=뉴시스],4
다수의,3
로봇,20
기업에,4
음성기술,6
공급을,9
확대하며,2
속도를,5
있다.셀바스AI는,2
"클로봇,",4
로보케어에,3
음성합성(TTS)을,3
2일,4
밝혔다.회사,2
클로봇과,2
로보케어의,2
자율주행,6
"안내로봇,",3
데일리케어,6
"로봇,",7
인지훈련,9
등에,8
음성합성(Selvy,6
TTS)이,1
적용됐다.,1
한국어,3
뿐,5
"영어,",4
"중국어,",3
일본어,3
다국어,27
음성합성이,4
공급돼,1
국적의,2
사용자를,2
1위,4
B2B(기업간,1
거래),3
클로봇의,3
안내로봇은,3
"박물관,",3
백화점,4
기관의,3
환경에,3
맞춘,3
제공하고,8
음성기술을,3
박물관,3
전시해설(도슨트),2
서비스뿐,3
외국인,11
관광객을,3
중이다.로보케어,1
돌봄로봇의,2
경우,8
세대용,3
"'보미',",2
일대일,3
적용되고,4
보미,2
로봇은,4
이대목동병원,3
로봇인지치료센터,3
치매,7
위험이,3
고령자를,3
대상으로,13
두뇌,3
향상,4
컨텐츠를,2
제공해,2
뇌기능,2
활성화와,4
예방에,3
주고,2
사용자와,2
간의,2
원활한,2
상호,3
작용이,3
가능하도록,3
언어·음성으로,1
표현할,2
지원하고,1
'대화형,2
로봇',1
밝혔다.셀바스AI의,1
TTS),1
공급되어,1
사용자들을,1
시작으로,9
음성인식과,2
GPT를,3
응용한,2
서비스',1
확대할,6
B2B(기업간고객),1
선보이고,1
로보케어,3
로봇에,4
제공하여,4
준다.,1
언어,54
음성으로,1
지원,1
10여년,1
전부터,1
로봇기업과의,1
로봇분야에,1
풍부한,1
경험을,3
로봇의,2
외형과,1
적합한,1
보이스를,1
"제공하며,",3
로봇에서,1
편리한,1
기능,2
구현이,1
API를,1
이에,8
자율형,1
학습이,1
특수,1
아동,1
치매예방을,1
인지개발,1
쇼핑,1
스마트,2
활발히,1
또,8
"임베디드,",1
"서버,",1
클라우드,1
형태의,7
공급,1
"있어,",1
로봇부터,1
휴먼형,1
로봇까지,1
적용될,1
HCI섹터,2
이항섭,2
사업대표는,2
"""대화형",1
적용된,2
친근한,3
목소리로,3
"안내하고,",2
듣고,5
이해하면서,4
대화까지,4
"진다""며",1
"""로봇이",1
사람과,2
상호작용을,2
진화하고,2
니즈에,1
맞춰,4
스스로,4
동작하는,2
만들어갈,2
제시할,2
"계획""이라고",3
공급하며,1
‘대화형,2
로봇’,1
밝혔다.(사진=셀바스AI)셀바스AI는,1
적용됐다고,1
이는,5
"공급돼,",1
가능할,4
전망이다.,3
서비스’,1
계획이다.셀바스AI의,1
제공을,1
방침이다.,3
현재는,1
전시해설,1
돌봄,1
"‘보미’,",1
적용됨으로써,1
콘텐츠를,1
“국내,1
전문,5
로봇이,2
텍스트,1
기반이,2
아닌,1
커뮤니케이션하기,1
로봇과,1
사람,1
보다,2
원활해지고,1
“대화형,1
가능해지는,1
요구에,1
계획”이라고,1
셀바스AI(108860)가,1
효성티앤에스,1
현금자동입출금기(ATM)에,1
TTS)기술을,1
공급했다는,1
소식에,1
장,1
초반,1
강세다.,2
25일,3
마켓포인트에,1
오전,2
9시11분,1
거래일,1
7.18%,1
오른,2
1만9400원에,1
거래되고,2
ATM을,3
금융,12
IT,19
기기에,5
음성지능을,3
계획이다.한편,1
올해,12
1분기,15
매출액은,11
123억9400만원으로,3
2.7%,7
증가한,5
잠정집계됐다고,1
전날,4
공시했다.,17
영업이익은,2
6억6000만원으로,3
전년,8
동기,8
대비,13
59.5%,6
감소했다.,5
당기순이익은,4
6억900만원으로,5
61.6%,6
감소한,2
나타났다.,2
현금자동입출금기(ATM)를,1
공급에,2
효성의,2
금융전문,2
계열사인,2
효성티앤에스에,2
TTS)을,2
밝혔다.효성티앤에스는,1
국내·미국,1
ATM,4
점유율,2
기업이다.,1
국내에서는,2
은행,4
"ATM,",2
미국에서는,2
편의점,2
리테일,2
ATM에,2
음성합성을,2
적용했다.셀바스AI는,1
공급해,2
서비스의,2
효성티앤에스가,2
외에,5
"키오스크,",2
데스크,2
지점,2
트랜스포매이션,2
영역까지,2
확장하는,2
것에,2
협력,4
확대한다는,1
계획이다.셀바스AI,1
"""ATM",2
컨택센터(AICC),2
"중""이라면서",1
"""시대적",2
흐름에,2
맞춰AI,2
IT기기까지,1
확장해,2
현금자동입출금기(이하,1
ATM)를,1
효성티앤에스는,1
"기업이며,",1
셀바스,3
AI의,6
적용했다.,1
음성지능과,1
효성티앤에스의,1
기기를,1
"융합하여,",1
고객의,1
이해한,1
후,5
처리해주는,1
은행원,1
추진할,1
"중""이라며",1
"""금융사들이",1
"기기,",1
"AICC,",1
대면상담,1
접목하여,1
만족도와,1
효율성,1
"달성했다""고",1
기기까지,1
덧붙였다.,5
기사내용,6
"요약""올해",1
역대,1
최대,19
실적,7
"전망""[서울=뉴시스]",2
인공지능·음성기술,1
분기,1
기준,14
달성했다.,4
연결,5
매출액이,2
124억원을,1
기록해,2
증가했다고,1
24일,9
같은,4
기간,6
"7억원,",1
순이익은,1
6억원으로,1
"59.5%,",1
줄었다.,2
매출이,10
크게,6
증가했다.,6
음성지능(음성인식·음성합성),1
부문이,1
'음성지능,3
서비스'로,3
성장,2
중이라는,1
설명이다.,8
"""높은",1
성장세를,3
"보인다""면서",1
"""올해부터",1
법무부,3
형사사법정보시스템(KICS),3
구축을,3
형사사법기관에,3
증가할,7
보이기,1
"때문""이라고",1
대표이사는,3
"""1분기",1
유일하게,3
성장세가,3
돋보이고,3
있고,3
연간,5
실적도,4
최대로,3
"전망한다""면서",1
"""이미",2
실적을,5
기존의,4
시장까지,6
신사업을,4
적극,4
추진해,2
기업가치도,3
한층,4
성장시킬,3
2023년,7
연결기준,6
달성했다고,2
"124억원,",2
7억원을,2
3%,1
호실적의,1
원동력은,1
증가다.,1
"음성지능(음성인식,",1
음성합성)이,1
매장은,2
물론이고,4
메타버스,4
진출하고,5
음성인식(Selvy,1
STT)은,1
"성능,",1
TTS)은,1
특정분야,2
한,10
제공이,2
강점이다.,2
음성합성에,2
챗GPT를,1
가능해질,2
전망이다.셀바스AI는,1
이어갈,1
보인다.,3
공급하여,1
기술과,3
메타로빌리티,2
신사업도,2
추진,2
사업적,1
제품들이,7
강화하기,2
초석으로,1
활용될,3
종속기업,2
의료기기,33
해외,20
증가하며,1
나갔다.,1
체성분분석기는,2
호주,3
이볼트(EVOLT)사를,2
현재까지,3
누적,2
100억원을,4
넘었다.,2
애니타임,2
피트니스(Anytime,1
Fitness)와의,1
계약으로,3
이볼트사,2
시스템이,2
필수로,2
설치되고,2
매출은,2
꾸준히,3
"""연결기준",1
달성하는,3
"전망한다""며",1
"""챗GPT의",1
확산으로,2
주주를,3
이해관계자들의,2
기대감이,2
"높아졌다""고",1
추진하여,2
요약영업이익,1
7억원…인건비·연구개발비,1
증가곽민철,1
"""역대",1
오동현,5
공시를,1
밝혔다.셀바스AI는,1
"증가했으나,",1
회사에,2
음성지능(음성인식·음성합성)이,1
성장하면서,2
있다.셀바스AI,1
음성지능은,1
인식률과,1
공급한다.,4
피트니스와의,1
전망이다.다만,1
1분기에,1
인건비와,1
연구개발(R&D),1
투자비가,2
증가하면서,1
영업이익이,5
10여명의,1
충원되면서,1
7억원의,1
인건비가,1
"증가했고,",2
이와,3
준비하면서,1
연구개발,5
전해졌다.,1
“연결기준,1
전망한다”며,1
“GPT의,1
높아졌다”고,1
“이미,1
것“이라고,1
올,2
6억6000만원을,2
"기록,",1
감소했다고,3
공시했다.같은,2
"123억9400만원,",1
줄어든,2
집계됐다.,2
이은정,1
잠정,3
박은비,2
연결재무제표,1
기록했다고,1
123억9400원으로,1
[헤럴드경제=증권부],1
전년동기대비,1
나타났다.당기순이익은,1
"대표,",1
보수,2
9억8400만원,1
수령배당은,1
‘0원’…주주가치,1
제고,1
소홀최근,1
788억원,2
규모의,11
유상증자를,7
2년간,2
20억원을,2
급여로,1
수령한,1
다만,2
주주,1
배당은,2
전혀,1
진행하지,2
주주가치,1
제고에,1
소홀하다는,1
지적이,1
나온다.곽민철,1
대표이사.19일,1
금융감독원,3
전자공시에,2
9억8400만원의,1
보수를,1
수령했다.,2
기본급이,1
4억8400만원이고,1
상여금이,1
5억원이다.,1
등기이사에게,1
지급한,1
전체,6
보수의,1
67%에,1
해당한다.곽민철,1
대표의,3
보수는,4
대표에,1
비해,1
월등히,1
높다.,1
흑자를,1
기록한,3
"위세아이텍,",1
라온피플,1
대표이사,1
5억원에,1
미치지,1
못한다.,1
이들,1
기업의,3
사내이사,1
평균,1
1억원대다.,1
"솔트룩스,",1
"마음AI,",1
코난테크놀로지,1
챗GPT로,1
주가가,1
동반,1
상승한,1
기업들,1
연봉이,1
5억원을,1
곳은,1
군데도,1
없다.,2
네이버의,1
최수연,1
대표이사에게,1
11억원의,1
연봉을,4
지급했다.,1
연봉은,1
비슷한,1
수준이다.셀바스AI,1
상여,3
지급과,1
관련해,3
“역대,1
"달성,",1
영업이익과,1
순이익이,2
"19%,",1
24%,1
"점,",1
기획·개발,1
내부회계관리제도,1
적용으로,1
부문별,3
적시·적확한,1
의사결정,1
체계를,1
구축한,4
점,1
고려해,1
상여금을,1
산출했다”고,1
밝혔다.곽,1
지난해뿐,1
2021년에도,1
고액,2
2021년,8
8억7800만원이다.,1
이때,1
기본급은,1
"4억원,",1
상여금은,1
4억7800만원이었다.,1
기본급,1
기준으로,2
1년,1
만에,1
21%의,1
인상한,1
것이다.앞서,1
2019년,3
외부감사인으로부터,1
자회사의,1
계속기업,1
불확실성,1
사유로,1
‘한정’,1
의견을,5
받고,3
주식,2
거래가,3
정지된,2
바,1
감사의견,1
한정은,1
상장폐지,1
사유다.,1
수년간,1
이어왔다.이후,1
개선계획을,1
이행하고,1
재감사보고서도,1
적정을,1
받으며,1
2020년,14
5월,3
재개됐다.,1
거래,2
재개,1
2020년까지,1
이어오던,1
턴어라운드에,1
지난해에는,2
"235억원,",1
31억원을,1
양호한,1
냈다.이처럼,1
기록하고,3
대표에게,1
20억원,1
수준의,4
급여를,1
지급했지만,1
긴,1
시간을,1
거래정지와,1
속에서,1
기다린,1
차례도,1
않았다.특히,1
쌓여,1
결손금이,1
처음,1
이익잉여금으로,1
전환됐다.,1
이익잉여금은,1
배당,2
여력을,1
나타낸다.,1
29억원,1
이익잉여금을,1
보유했다.,1
재무적으로,1
배당을,1
상황인,1
셈이다.그럼에도,1
배당보다,1
선택한,1
이유는,1
낮은,4
지분율,2
때문으로,1
분석된다.,1
말,3
지분,2
11.82%를,1
부친인,1
곽영수,1
고문의,1
1.78%까지,1
합치면,1
13.6%,1
수준이다.,2
만약,1
회사에서,1
배당으로,1
받으려면,1
150억원을,1
배당금으로,1
지급해야,1
대해,4
“주주가치,1
제고를,1
고려하고,1
시점은,1
알,4
없다”고,1
밝혔다.한편,1
7일,5
결정했다.,1
주주들에게,1
주당,2
1만9710원에,1
신주를,1
살,1
권리를,1
배정하겠다는,1
종가는,1
2만700원이다.,1
이경찬,1
투비소프트,11
대표이사.,1
(사진=투비소프트).,1
투비소프트는,12
29일,10
삼성동,1
본사에서,3
제23기,1
정기주주총회를,1
이사선임,1
안건을,1
원안대로,1
통과시켰다고,1
3일,1
투비소프트에,1
주총,2
안건인,1
▲지난해,1
연결∙별도,1
재무제표,1
▲정관,1
변경,1
▲이사,2
선임,2
▲감사위원회,1
위원,1
통과됐다.등기이사는,1
11명에서,1
6명으로,1
경비,1
절감과,1
효율을,1
높이려는,1
목적이다.,1
새롭게,1
정성봉,1
한국개발공영,1
고문이,1
"사외이사로,",1
이경준,1
고문을,1
기타비상무이사로,1
"선임됐고,",1
감사위원회,1
위원도,1
겸임하기로,1
결정됐다.이경찬,1
"""이번",3
안건은,1
합리적이고,1
투명한,3
회사로,1
거듭나려는,1
초석이,1
될,6
"""2022",1
