단어,개수
작성이,2
셀비,8
노트(Selvy,1
"Note),",1
"병원,",3
"검진센터,",2
피트니스,2
센터,2
체크업(Selvy,1
Checkup),1
적용을,2
가능할,1
AI는,4
계열사,2
위지윅스튜디오뿐,2
사업협력을,2
공고히,2
할,5
위지윅스튜디오가,3
확보한,2
IP,4
컨텐츠,4
밸류체인과,2
"플랫폼,",2
디지털트윈,4
등의,8
활발히,2
검토하고,2
가장,8
먼저,2
선보이는,2
비롯해,4
고도화된,2
기술력의,2
수,62
있을,6
"기대한다""고",2
"""음성지능을",1
[이데일리,16
이용성,2
기자],20
셀바스AI(108860)는,3
‘메타버스,1
협력’을,1
업무협약(MOU)’을,1
밝혔다.(왼쪽부터),1
대표.(사진=셀바스AI)이번,1
협력하고,1
"노트,",2
체크업,3
"가능하다.또한,",1
인식기술뿐,1
제품을,7
적용할,6
있도록,12
프로젝트를,2
논의할,1
계획이다.셀바스,1
분야에서의,1
입지를,2
넓힐,2
방침이다.,4
지적재산(IP),1
있다.이경일,1
기대한다”며,1
앞으로도,2
분야의,1
파트너십을,3
"체결하며,",1
메타버스라는,1
새로운,3
영역을,3
선도적으로,1
이끌어,2
말했다.곽민철,1
“음성지능을,1
교과서,3
솔루션인,2
'셀펍'을,1
교재,1
발행사에,1
공급했다고,1
17일,1
음성인식,15
교육,14
제품,6
스피치,1
에듀(Selvy,1
"SpeechEdu),",1
수학,1
국어,1
교육이,2
필기인식,2
펜(Selvy,1
Pen)'에,1
이어,6
'셀펍(Selpub)'을,1
개발했다.,1
셀펍은,1
나만의,1
교과서를,2
제작할,2
있는,14
"솔루션으로,",1
기술이,1
적용됐다.,1
사용자들은,1
"동영상,",1
"오디오,",1
이미지,3
등을,14
삽입하여,1
손쉽게,1
e북을,1
관계자는,12
"""셀펍을",1
이용하면,1
면,1
사용자의,3
학습활동,1
데이터,18
수집을,1
개별,1
학습자의,1
학습,3
분석과,1
제공이,1
"가능하다""며",1
"""셀바스AI는",1
이미,2
디지털교과서,4
뷰어,1
"진행하며,",1
경험과,2
쌓아오고,1
"있다""고",3
회사는,2
교육에,1
적합한,1
컴포넌트,1
확보에,3
박차를,2
가하고,2
확보를,5
분석,26
"기술,",2
연계기술을,1
융합해,2
AI튜터로,1
순차적으로,1
확대할,2
"""앞으로",1
빅데이터,1
더해,2
셀펍을,1
통합,10
솔루션으로,1
"발전시키겠다""고",1
요약주당,1
가격,1
1만4790원…총,1
매도액,1
12억4000만원AI기반,1
공동개발,2
사업협력[서울=뉴시스],1
오동현,6
관계사인,1
셀바스AI에,3
자기주식,2
8만3864주를,1
매각한다고,1
12일,6
공시했다.,16
주당,4
가격은,1
이날,6
종가인,1
"1만4790원으로,",1
총,5
매도,2
금액은,1
약,14
12억4000만원,1
규모다.위지윅은,1
지난,22
2021년,6
양사간,2
기술적,1
시너지를,1
업무협약을,1
관계를,2
"맺었으며,",1
지난해,16
8월에는,1
유상증자,8
전환사채(CB),2
투자에,3
참여하며,1
본격적으로,2
피를,1
섞었다.,1
지난달에는,1
또다른,1
관계사이자,1
비전,2
메라커와,1
3개사간,1
'AI기반,1
사업협력'을,1
공동,2
체결했다.,4
위지윅,2
자사주,1
매입,1
역시,3
투자자(SI),1
하고,3
추진에도,1
내겠다는,1
메세지로,1
풀이된다.박관우,1
업무협약식에서,1
"""AI트윈은",1
배우나,1
아이돌,1
아티스트들이,1
한시성이라는,1
핸디캡을,1
넘어,3
하나의,3
지식재산권(IP)으로,1
다시,1
태어나게,1
해줄,1
"것""이라며",1
"""위지윅그룹의",1
"영화,",1
"드라마,",1
예능,1
출연,1
뿐,3
광고모델,1
활동,1
비즈니스모델로,1
시사했다.,1
위지윅은,2
5월,5
시어스랩,1
투자를,6
같은,7
해,2
"메라커,",1
다음해,1
셀바스에,1
진행하며,1
가치사슬,1
힘써,1
왔다.,2
위지윅이,1
구축한,1
'AI,1
얼라이언스'가,1
시장을,5
선도할,1
것이라는,5
포부를,2
보이고,1
"한편,",1
'재벌집,1
막내아들'을,1
필두로,1
'블랙의,1
"신부',",1
'신병,1
"1,",1
2',1
킬러,1
콘텐츠를,1
앞세워,1
최대,6
매출액,7
1800억을,1
돌파했으며,1
별도,1
기준으로는,1
흑자전환에,1
성공했다.,1
법무부,2
차세대,2
형사사법정보시스템(KICS)에,1
지능형,4
적용한다고,1
11일,6
밝혔다.(사진=셀바스AI)셀바스AI의,1
음성기록,1
노트는,1
조서,4
작성에,1
특화되어,1
이에,5
음성인식의,1
사용,3
환경도,1
대폭,1
확대될,1
기대하고,3
조사환경에서,1
조사자·피조사자,1
간,9
조사,1
내용을,1
화자,1
분리하여,1
인식하고,1
텍스트로,1
변환하여,1
절차를,2
디지털로,1
전환한다.,1
현재,6
경찰청,1
해바라기센터,1
전국,1
지자체,1
아동학대,1
현장,5
"조사,",1
특허청,1
"특별사법경찰관,",1
로펌,2
중이다.,8
KICS는,1
형사사법절차의,1
완전,1
전자화를,1
목표로,3
2024년,2
하반기,3
상용화,1
될,3
예정이다.셀바스AI,1
음성인식부문,1
윤재선,1
사업대표는,1
"“경찰,",1
"보건복지부,",1
특허청에,1
KICS,1
사업까지,1
참여하게,1
"되면서,",1
기반,23
주도하고,1
모든,2
형사사법기관,1
진입으로,1
공공분야,1
시장에,9
노트가,1
더,8
빠르게,11
확산될,1
것”이라며,2
“이외에도,1
은행,1
금융권,1
대면,1
상담,2
"시장,",1
법률,1
시장으로의,1
고객,5
확장,1
중이라,1
매출,8
성장이,2
기대된다”고,2
챗GPT,2
테마로,1
들어,2
5배,2
급등788억,1
규모,13
주주배정,15
유증에,2
13%↓시총,1
15%,2
달하는,1
악재,1
인식셀바스AI,1
"""AI",3
다변화,1
"것""[이데일리",1
김보겸,5
테마주로,1
묶이며,1
넘게,6
급등한,1
셀바스AI(108860),1
주가가,2
10일,9
거래에서,1
13%,1
급락했다.,2
전거래일,2
788억원,6
방식,9
유상증자를,10
결정했다는,1
소식,2
영향이다.,1
측은,5
“AI,2
다변화하기,1
진화에,1
나섰지만,1
주주들,2
달래기에는,1
역부족이었다.,1
주가는,4
전거래일보다,2
3650원(13.75%),1
하락한,2
2만2900원에,1
마감했다.,1
장이,1
열리자마자,1
20%,3
빠지며,1
2만1000원대까지,1
떨어진,1
이후,11
2만3000원대까지,1
낙폭을,1
"만회했지만,",1
유증,1
공시에,1
뿔난,2
개미들의,1
매도세에,1
주가,4
하락을,1
막지,1
못했다.,1
개인투자자들은,1
하루에만,1
주식,2
153억원어치를,1
던졌다.,1
급락은,1
주주들에게,1
추가로,1
자금을,1
붓는,1
형태인,1
소식이,1
알려지면서다.,1
7일,6
장,4
마감,2
결정했다고,8
운영자금에,1
"769억원,",1
채무상환에,1
19억원이,1
쓰일,4
보통주,6
400만주가,6
신주,11
발행되며,3
예정,6
발행가는,1
1만9710원이다.,6
시장은,5
이를,5
악재성,1
유상증자로,1
해석했다.,1
"먼저,",1
산업에,1
투자하기,1
788억원을,3
조달하는,1
것이,6
직원들의,1
월급을,1
못,1
주고,1
빚을,1
갚지,1
못하고,3
있다는,3
신호로,1
인식하면서다.,1
규모가,4
시가총액,1
대비,9
지나치게,1
크다는,1
점도,4
우려했다.,1
통상,1
시총보다,1
증자,1
크면,1
많이,1
떨어진다.,1
시가총액은,1
"5154억원으로,",1
규모는,3
시총의,1
15%를,1
넘는다.,1
매출과,1
영업이익에,1
비해서도,1
과한,1
수준이라는,1
지적도,1
작년,2
매출은,3
"500억원,",1
영업이익은,1
50억원이다.,1
사이에선,1
“유상증자로,1
조달한,1
자금,1
벌려면,1
10년은,1
걸릴,1
것”이라는,1
탄식도,1
나온다.,1
목적이,2
‘AI,3
다변화’에,1
있다며,1
투자자,1
달래기에,1
나섰다.,2
중,11
유일하게,2
인간과,3
컴퓨터,3
상호작용,1
"제품화,",3
"사업화,",3
수익화를,3
선순환,3
구조를,4
성공적으로,1
정착시켰다”며,1
“이,1
"로봇,",5
분야로,2
확장하고,1
급한불,1
끄기에,1
다만,2
해명을,1
받아들이지,1
않는,1
모습이다.,1
지난달,1
27일,6
연고점(3만5200원),1
34.94%,1
낮아졌다.,1
"에코프로,",1
순매수,2
1위[서울경제],1
코스닥지수는,1
거래일보다,3
7.71(0.88%),1
오른,1
887.78포인트로,1
장을,2
마쳤다.지수는,1
장중,1
한때,1
2.76포인트(0.31%),1
877.31포인트까지,1
떨어지기도,1
했다.투자자별로는,1
홀로,1
5491억원,1
어치를,1
순매수한,1
반면,2
외국인과,1
기관은,1
각각,4
1758억,1
"원,",2
3063억,1
원어치를,1
순매도했다.기관은,1
천보(278280)(79억,1
원)와,3
오스코텍(039200)(61억,1
"원),",33
메디톡스(086900)(52억,1
원익QnC(074600)(44억,1
상신이디피(091580)(44억,1
카나리아바이오(016790)(43억,1
디어유(376300)(38억,1
주성엔지니어링(036930)(26억,1
피에스케이(319660)(25억,1
셀트리온헬스케어(091990)(23억,1
지아이이노베이션(358570)(21억,1
대보마그네틱(290670)(21억,1
원)등을,3
했으며,1
에코프로비엠(247540)(975억,1
에코프로(665억,1
엘앤에프(339억,1
제이오(112억,1
엠로(101억,1
대주전자재료(90억,1
엔켐(61억,1
뉴로메카(52억,1
에이비엘바이오(47억,1
CJ,1
ENM(43억,1
했다.외국인은,1
셀바스AI(108860)(170억,1
원)를,1
에코프로비엠(117억,1
셀트리온헬스케어(90억,1
나노신소재(121600)(88억,1
윤성에프앤씨(372170)(77억,1
에스비비테크(389500)(55억,1
포스코(ICT(46억,1
에스피지(058610)(41억,1
HLB(028300)(39억,1
제이스코홀딩스(023440)(39억,1
순매수했다.,1
순매도,1
상위종목은,1
에코프로(423억,1
에코프로에이치엔(139억,1
피엔티(122억,1
미래나노텍(95억,1
하나마이크론(92억,1
새로닉스(78억,1
주성엔지니어링(77억,1
레인보우로보틱스(71억,1
넥슨게임즈(66억,1
원)등이다.,1
초반,3
급락세다.셀비,1
오전,2
9시,1
14분,1
4600원(17.33%),1
내린,1
2만1950원에,1
거래되고,2
있다.지난,1
운영자금과,3
채무상환자금을,2
마련하기,2
788억4000억원,1
밝힌,1
바,1
있다.보통주,1
발행가액은,5
발행가액,4
확정,5
예정일은,6
6월,4
1일이다.이달,1
26일이,2
신주배정,8
기준일이다.,2
발생한,4
실권주,5
등은,4
주관사인,4
KB증권이,4
잔액,4
인수한다.,2
셀바스AI(108860)가,1
하락하고,1
규모의,11
방식의,2
진행한다는,1
영향으로,1
풀이된다.,2
마켓포인트에,1
9시2분,1
15.44%,1
2만2450원에,1
788억4000만원,1
진행한다고,1
6월1일이다.,1
주식수는,6
0.17주이며,1
이달,3
요약788억,1
유상증자…주가,1
가까이,2
"하락중""기업가치",1
"향상,",4
주주이익으로,2
이어지게,3
"노력""[서울=뉴시스]",1
결정한,3
메타로빌리티,6
신사업에,2
연구개발,1
늘리고,2
실적을,3
성장시키겠다고,2
대표이사는,3
필요로,4
전환을,3
실현해,5
실적,14
성장,5
계획을,2
하나씩,1
기업가치,3
"힘쓰겠다""고",6
강조했다.셀바스AI에,1
신주로,2
"발행되며,",2
1일이다.,2
1주당,4
"0.17주이고,",2
기준일은,3
26일이다.,2
인수하는,2
방식이다.이번,2
유상증자의,2
목적은,4
자사가,2
상호작용(HCI),2
초거대,7
연구개발(R&D)및,2
성장이다.,3
신규로,2
혁신할,2
분야는,3
크게,3
메타로빌리티(메타버스·로봇·모빌리티)다.,2
각,4
분야별,3
전환은,4
경영,2
혁신까지,2
주도한다는,2
계획이다.그러나,1
결정에,1
2만6550원에,1
마감한,1
거래날인,1
2만1000원대를,1
떨어졌다.,1
기술력을,6
정착시킨,1
유일한,1
소프트웨어(SW),2
기술력뿐,2
IT,6
종속기업,2
셀바스헬스케어를,2
하드웨어(HW),2
제조,2
역량까지,2
보유하고,4
있어,6
속도감,2
있게,8
의료,18
분야에서는,4
자사,4
SW,4
셀바스헬스케어의,3
HW,2
'군,3
이동,3
원격진료',3
진행,6
원격의료,3
"솔루션,",3
화상장비뿐,3
글로벌,30
군,12
원격진료를,3
민간,3
원격진료,3
시장까지,6
확대한다.AI,3
학습분석,3
"툴,",3
제작,5
보유,2
"확보,",3
튜터,3
확대해,3
공교육뿐,2
사교육,2
시장의,5
패러다임을,3
바꾸는,3
게,5
목표다.메타로빌리티는,1
분야다.,3
"로봇기업,",3
자동차,9
"제조기업,",3
자체,6
확보로,3
초개인화된,3
제조사에,3
공급,5
"중이며,",2
AI가,6
적용된,3
음성지능,3
활용해,4
시대를,4
열,2
계획이다.곽민철,2
"""GPT의",2
확산으로,3
주주,4
이해관계자들의,2
기대감이,3
높아졌다.,2
우리가,2
제시한,2
비전을,2
우리의,4
기술력,2
가치를,2
입증하기,2
자금조달을,2
"결정했다""며",2
"""당사",2
기술에,2
일상과,2
밀접한,2
경영혁신을,2
셀바스AI만의,2
차별화된,4
성장을,5
만들어,2
"가겠다""고",2
말했다．,2
"""기업가치",1
이익,1
힘쓸,1
"것""",1
결정인공지능(AI),1
연구개발(R&D),1
높여,1
"""그동안",1
제고를,1
신사업을,1
발굴·육성하고,1
"있었다""며",1
이익으로,1
메타로빌리티는,3
모빌리티의,1
합성어다.,1
소프트웨어,7
하드웨어,3
확대한다는,1
중인,2
열겠다는,1
구상이다.,1
한편,2
7일에는,1
결정했다.,1
"원격의료,",1
의료진단,1
신제품,2
개발,22
확대를,2
채무상환자금,1
조달하기,1
신주발행되며,1
"요약의료,",1
신사업,3
"강화""GPT의",1
당사,1
기대감,1
"높아져""[서울=뉴시스]",1
788.4억원,1
밝혔다.보통주,1
계획이다.셀바스AI는,1
정착시켰다.,1
추진,1
가능하다고,2
설명했다.,2
목표다.,2
요약UI,1
기초부터,1
실무,2
중심,9
프로젝트,5
실습까지,1
다뤄[서울=뉴시스],1
김경택,4
툴,5
투비소프트는,5
'프로젝트형,1
넥사크로,10
전문가,1
양성과정',1
4기,1
수강생을,1
모집한다고,1
13일,4
밝혔다.회사,1
측에,1
9월,1
UI·UX(사용자,1
인터페이스·경험),1
'넥사크로,1
N',1
개발자,2
교육과,1
양성에,1
관한,1
수요가,1
늘면서,1
6월부터,1
양성,1
과정이,1
개설됐다.,1
과정은,2
집합,1
교육으로,1
출신,1
강사진이,1
직접,1
강의한다.4기,1
주요,8
▲넥사크로,1
사용법,1
▲UI,1
공통,1
▲자바,1
프레임워크,1
연동,1
▲모바일,1
▲성능·개발,1
이슈,2
▲모의,1
수행,1
등이다.지난,1
1·2·3기,1
수강생은,1
현업에서,1
넥사크로를,1
다루는,2
개발자와,1
전문적으로,1
배우려는,1
"대학생,",1
IT기업,1
취업,1
희망자,1
등이,2
모여,1
기초와,1
방법을,1
체계적으로,1
학습했다고,1
설명했다.신청,1
기간은,2
다음,1
달,1
9일까지다.,1
일정은,1
같은달,1
17일부터,1
오는,8
6월20일까지,1
2개월이다.,1
이은정,1
투비소프트(079970)는,4
하이트론씨스템즈,1
인수를,1
조건부,2
투자계약을,1
“서울,1
회생법원,1
2023회합100006,1
회생,1
사건에서,1
진행되는,1
인가전,1
M&A와,1
관련해,1
공개입찰,1
진행한다”며,1
“인수의향자,1
또는,1
입찰자가,2
없거나,1
투비소프트의,1
인수내용보다,1
유리한,2
인수내용을,1
제시하는,2
없는,3
경우에는,1
투비소프트를,2
최종,1
인수예정자로,1
선정하기로,1
투자계약”이라고,1
햇다.,1
국내,28
투비소프트(대표,2
이경찬·장선수)가,1
롯데면세점과,1
최근,15
면세점플랫폼,2
구축,9
계약을,15
맺었다.이번,1
사용자,5
친화적인,1
UI/UX로,1
효율성을,1
더욱더,1
높이려고,1
투비소프트,7
최신,2
UI/UX,7
‘넥사크로,4
N’을,2
도입한다.또한,1
늘어나는,1
내·외국인,1
고객에게,1
프로모션을,1
펼치며,1
접점,1
활동을,2
이어나가고,1
롯데면세점은,1
면세점,1
플랫폼을,5
N으로,1
개발할,3
계획이다.롯데면세점은,1
마이플랫폼을,2
N까지,2
오랫동안,1
플랫폼으로,4
업무시스템을,2
개발·운영해오고,1
있다.투비소프트,1
“롯데면세점은,1
10년,1
개발·운영하고,1
“그동안,2
쌓은,4
신뢰와,1
경험으로,1
안정적으로,2
이끌겠다”고,1
[서울경제],1
이경찬ㆍ장선수)가,1
GS건설과,1
‘경험,1
고객플랫폼,2
계약’을,1
맺었다고,3
밝혔다GS건설은,1
경험,2
도입한다.,1
각종,1
데이터와,1
자료를,2
눈에,2
볼,5
시스템,2
UI를,2
N에,2
설계할,1
계획이다.넥사크로,1
N은,4
대표적인,1
플랫폼으로써,1
편의성이,1
우수한,7
툴이다.,1
인터페이스와,1
다루기에,1
알맞은,2
소프트웨어로써,1
기업과,1
고객이,2
서로,1
소통하는,2
만드는,1
데,4
효과적이다.고객,1
경험(CX)은,1
제품과,2
"모델,",1
관리,4
영역에서,1
기업이,1
고객과,1
상호,1
작용하는,1
방식을,2
뜻한다.,1
브랜드를,6
인식하는,1
요소로,3
빼놓을,1
없다.투비소프트,1
“기업은,1
소비자,1
시장,15
조사와,1
토대로,1
전략을,1
세우기,1
때문에,5
처리가,1
중요하다”며,2
“넥사크로,2
직관적으로,2
있는데,1
장점이,1
사업에,1
유용하게,1
말했다.투비소프트는,1
2000년,2
대,1
X,1
인터넷,1
시대,1
"엑스플랫폼,",1
14와,1
17을,1
거쳐,3
웹,2
환경에,1
대표하는,1
UI,1
잇따라,1
출시해,1
오고,1
고객사가,1
요구하거나,1
시대에,1
맞는,2
선보여,3
선두자리를,1
굳건히,1
이윤정,1
한국항공우주산업(KAI)과,1
‘KFX전투기,1
군수정보,1
제품계약’을,1
2일,2
밝혔다.(사진=투비소프트)이번,1
KAI는,2
나은,2
OS,1
환경에서,1
개발하기,1
엑스플랫폼에,1
넥사크로로,1
전환한다.투비소프트,1
투비소프트와,1
양사,1
지원과,1
운영을,1
신뢰를,2
점이,2
계약에,1
주요했다”고,1
설명했다.코스닥,1
상장사인,1
7월,5
설립된,2
기업용,4
비즈니스,4
20여,1
년,1
동안,2
기술력과,3
점유율,1
1위,3
"‘넥사크로플랫폼’,",1
‘엑스플랫폼’,1
개발해,1
국내외,1
고객사,3
6000곳에,1
레퍼런스를,1
구축하고,1
이정현,3
연결기준,1
영업익이,1
전년대비,1
43.7%,1
증가한,3
-36억1638만7259원이라고,1
기간,2
매출액은,4
14.3%,1
"432억1417만891원,",1
당기순이익은,1
33.3%,1
늘어난,1
-111억4995만6490원이다.,1
챗GPT로,1
편의성,2
개선Q&A를,1
적용...올,1
선뵐,3
계획,1
투비소프트가,2
N과,1
GPT를,1
융합한,1
N+GPT’를,2
하반기에,2
예정이다.투비소프트는,1
오픈AI가,1
개발한,3
‘챗GPT’,1
컴퓨터와,1
모바일,6
기기의,1
화면,1
구성,1
프로그램을,1
때,2
인공지능으로,1
쉽고,1
예정이다.챗GPT를,1
접목해,2
개발자가,2
질의,1
응답해,1
나온,1
답변을,1
적용하는,1
것이다.,4
"테면,",1
개발자는,1
포털사이트에서,1
정보를,9
찾으려고,1
수시로,1
검색한다.,1
인터넷에서,1
찾더라도,1
‘우리,1
DB와,1
어떻게,1
연결하지?’,1
‘예제,1
코드는,1
어디,1
있지?’,1
"‘어,",1
오류는,1
뭘까?’하고,1
고민한다.투비소프트,1
발표에,1
챗GPT를,1
텍스트와,1
"이미지,",1
NUI(Natural,1
User,1
Interface:,1
키보드나,1
마우스와,1
도구를,1
쓰지,1
않고,2
음성과,2
제스처,2
신체,1
일부와,1
"감각,",1
"행동,",1
인지,1
능력으로,1
기기를,1
것)를,1
처리할,1
보인다.챗GPT를,1
활용하면,1
시스템이,1
빅데이터를,1
학습하여,1
구성하기,1
챗봇의,1
단순,1
답변,1
수준보다는,1
구할,1
있다.투비소프트는,1
20년,1
빅데이터와,1
"경험,",1
컨설팅,1
등으로,3
얻은,1
학습시켜,2
챗GPT에,1
계획이다.투비소프트,1
이우철,1
기술연구소장은,1
입력,1
장치로,1
전달해,1
분석하면,1
요구사항이나,1
결과가,1
나올,1
기능이,1
“챗GPT와,1
융합한다면,1
필요한,3
정확하고,1
찾아,1
시간을,1
줄이고,1
생산성을,1
높이는,1
기여할,6
투비소프트(대표이사,1
이경찬,1
·,1
장선수)가,1
16일,1
홈페이지를,1
새롭게,1
단장해,1
선보였다.8년여,1
만에,1
개편된,1
홈페이지는,2
‘UI/UX,1
"전문기업’,",1
융·복합,1
혁신기술을,1
선도하는,1
"기업’,",1
‘고객,1
돕는,6
기업’이라는,1
아이덴티티를,1
드러내고,2
<사진설명,1
<투비소프트,1
홈페이지,2
리뉴얼,1
오픈>홈페이지,1
UI(사용자,2
인터페이스)는,1
간결하고,1
구성해,1
세련되게,1
보인다.,2
퀵메뉴를,1
새로,2
"추가하고,",1
메뉴,5
트리는,1
아이콘을,1
누르면,1
하위,1
메뉴가,1
펼쳐지는,1
형태로,2
통일해,1
편의성을,1
개선했다.또한,1
전문기업으로서,1
방향을,2
트렌드를,1
이끌고,1
업계,3
미래지향적인,1
모습도,1
표현하고,2
있다.이경찬,1
“새롭게,1
단장한,1
이해하는,1
도움이,1
구성했다”며,1
“앞으로,1
기업으로,3
나아갈,1
지향점을,1
있다”고,3
말했다,1
최훈길,2
시가,2
하락에,3
제14회차,2
전환사채의,6
전환가액이,4
1055원에서,2
918원으로,2
하향조정된다고,2
전환가능,4
473만9345주에서,2
544만6633주로,2
증가했다.,4
[서울=뉴시스],3
시가하락에,2
공시했다.이에,2
제13회차,2
959원에서,2
895원으로,2
하향,2
조정된다고,2
9일,2
따른,8
수는,1
938만4775주에서,2
1005만5865주로,2
인류와,1
진화한,1
언어…AI가,1
단기간,1
따라잡기,1
쉽지,2
않아정확한,1
번역,20
위해서는,1
사람의,3
힘,2
필요해집단지성,1
고품질,1
언어,14
수집…수요,1
점점,1
커져이정수,1
플리토,8
24일,1
서울,2
서초구,2
본사에서,2
이데일리와,1
인터뷰를,1
(사진=이데일리,1
이영훈,1
기자)[이데일리,1
